Hash,numpy_fft,fftw_fft,Match
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,True
ReproducibilityFlags.REPEAT,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,False
ReproducibilityFlags.RECOMPUTE,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,False
ReproducibilityFlags.REPRODUCE,0255faec8536979562350baee5a6ec688b431589729d13c305ce99fe280e306b,38c042a1326fa663ca5635d6dd951aaf119f700f3e09608985082b20d698dfa7,False
ReproducibilityFlags.REPLICATE_SCI,784bdfff0d7b8e772ac991f87fdaf738fe7b5a2e6a036875de1f36dd1e89c46a,2ae29784b11e8c13cd764d61a4516cdbd2791d64cf0f9e3190b5d573360a5e8d,False
ReproducibilityFlags.REPLICATE_COMP,d01935f1e21591d813652af2b98c021e3016ae4838c8615b49e13fd46b68a4a8,0ae00c31b5e3e34cffe488a0b71b5f49f1dc4c8381c24595e8d0d0240bc82086,False
ReproducibilityFlags.REPLICATE_TOTAL,5b53236b50f603040ab8c3101030f054de9e4a89ef242fc719ca6ca80084edf2,1bacf6241fbb3fd56ac1fdbbb8d452a4b113504cf40a177e98d4e6b58b578ca7,False
