Hash,fftw_fft,numpy_pointwise,Match
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,True
ReproducibilityFlags.REPEAT,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,False
ReproducibilityFlags.RECOMPUTE,cd08a6dbec10d7ba3f73ca2248bd1015993ff6c4ca669dd385a89071131e7926,8b42d81a91947d7d2ad8c1fc3ee183acd98c9c7871e363ddf1e758783bb6f2c4,False
ReproducibilityFlags.REPRODUCE,38c042a1326fa663ca5635d6dd951aaf119f700f3e09608985082b20d698dfa7,8177b64fa6ce76ff00ceb3589031460790b88d8ba4bc7928470074ed4c42ae78,False
ReproducibilityFlags.REPLICATE_SCI,cb94682abb836d81683dee950bfc8053162807969d8a45320df356362401de6d,54251061886e1bc3569e66fe8ad654e4b2b9f12b728f4549f459f6bca22ae099,False
ReproducibilityFlags.REPLICATE_COMP,57810443780fbaa76edfba4be4dc82999d65ba7d61f37d7d5bfeaa6d8a0616bf,c374a674894c0881655f4f6be618d6c77da0ef2fd73221f1ab46b6520e64898c,False
ReproducibilityFlags.REPLICATE_TOTAL,08a5e4967261c2c6eefc72703c813d609f33f35c5a4e798609d4cb867c540afe,228f711dfb3c95c3cb1915336dbc8837f32f6953d12c7c6a7258774244bd679f,False
