Hash,fftw_fft,cuda_fft,Match
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,True
ReproducibilityFlags.REPEAT,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,False
ReproducibilityFlags.RECOMPUTE,cd08a6dbec10d7ba3f73ca2248bd1015993ff6c4ca669dd385a89071131e7926,0dac9f23ef1b321e78166376d4c68ddbefffe255a3ba88b67874497e5474557d,False
ReproducibilityFlags.REPRODUCE,38c042a1326fa663ca5635d6dd951aaf119f700f3e09608985082b20d698dfa7,b008b9233b16161e64b612e5b44bc72437c68b0c135931bf4398667238e0ead2,False
ReproducibilityFlags.REPLICATE_SCI,cb94682abb836d81683dee950bfc8053162807969d8a45320df356362401de6d,b1e17cee400883ecd829e351a47cd68f21d9483da08ad0dc97ca5891ebd49d2c,False
ReproducibilityFlags.REPLICATE_COMP,57810443780fbaa76edfba4be4dc82999d65ba7d61f37d7d5bfeaa6d8a0616bf,3d442d606f7e9e6b2b9ce7e320ca9e6c2540d358c4d63913eb68de474e697e18,False
ReproducibilityFlags.REPLICATE_TOTAL,08a5e4967261c2c6eefc72703c813d609f33f35c5a4e798609d4cb867c540afe,147d19b8a013bf664fd41f454a452c6ab90bbc01f2ff2056bb0d0c0daec64976,False
