Hash,numpy_fft,cuda_fft,Match
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,True
ReproducibilityFlags.REPEAT,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,False
ReproducibilityFlags.RECOMPUTE,9b0a66b079713416d0ddc5d1ce9f23ec44d2c80f3caadf3d9939bb64d97e81cd,6bb9323ccdbaf28c165de6da8fa1f36cf653e43c8e102cedbc12ee6d749a730f,False
ReproducibilityFlags.REPRODUCE,959726b4a5eda7c89b8aeefe604ff12e8b25b2b29c034fee2b8f2465c9fc4a86,6970f41af05b76f5659230b181333b70446aea7eddc901662aac292c599fc27a,False
ReproducibilityFlags.REPLICATE_SCI,194a9bb2c29f4c82a5b4048a1fafd987ef426676277bb3b92076dbcb0337a02e,a956ad037f125040b13fb57fc0b866ee387c305ab50a563384579cc065b2eb8f,False
ReproducibilityFlags.REPLICATE_COMP,1543fe7b223d84b3f8357542c2d1c142f07b1395aea1726b279c19cfbf3c363e,6bd99dfe6ec2ca1c9187b0cf495be510b6e4ff40a9698f36f80425d7a04ed027,False
ReproducibilityFlags.REPLICATE_TOTAL,c1dbef10e51c0d535df8ab12b5e71b4765a159d1ef6bdb10686a078cce6a34d9,ce7e3109dcb24a6d09d2e511a63d82ef35ac9d039757efbdb5e7aae9b6fb77a5,False
