Hash,cuda_fft_0
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
ReproducibilityFlags.REPEAT,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b
ReproducibilityFlags.RECOMPUTE,0dac9f23ef1b321e78166376d4c68ddbefffe255a3ba88b67874497e5474557d
ReproducibilityFlags.REPRODUCE,b008b9233b16161e64b612e5b44bc72437c68b0c135931bf4398667238e0ead2
ReproducibilityFlags.REPLICATE_SCI,54e8ad77d1f31f1bebb00d06a181ec68a5f7565c3ded849d44c81886e4fb43e7
ReproducibilityFlags.REPLICATE_COMP,d9d5164d345019b9cd41e9dcb8ca59f7038d7917a42ed8a14be3ccb0b271852e
ReproducibilityFlags.REPLICATE_TOTAL,9b6b0251875d37a92b7b4a0cc9fd6925fe90c25ec20b79c878353bac0d91540f
