Method,0,1,2,3
cuda_fft,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
fftw_fft,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
numpy_fft,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
numpy_pointwise,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
