Hash,cuda_fft_10
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
ReproducibilityFlags.REPEAT,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b
ReproducibilityFlags.RECOMPUTE,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643
ReproducibilityFlags.REPRODUCE,964113d249c6109f15181d0db56ec8f5754562abce5d4fb03f52a8fec4f972ed
ReproducibilityFlags.REPLICATE_SCI,81b9f9ebd255e37351b6de6a6e90b62eef7346c4ec69c9d27c0adf6d28800e5e
ReproducibilityFlags.REPLICATE_COMP,8470d35f7180412781a622e020bb85f027f8802f737eee62cafbae18f55f7d42
ReproducibilityFlags.REPLICATE_TOTAL,373d6d1b585eb6d568b77f36cda8fadd6730de3c0c4ebad1d9b6a6bf5413465a
