Method,0,1,2,3,4,5,6,7,8,9,10,11,12,13
cuda_fft,0f10acce93931c66320322059bb81fd35426141c526db04a854b03b2f1d71937,1d0e765f308d018a451659de21152596d6eafce801cdbaf619699d8e63c184d4,fe59d03baca5a6bf6d53dfcc4c6cf0200a89297e9859f5730f816c4b6246a16f,5aca06c78408d70067e59ccc0810d899218c3d7792df91e6f603b6826d590448,2b857c0b128f038de462cb55a7a4294cd94d1faa35fae0b61b07f0e58836a2cc,3d59cf200b5de8e44ff5cfb1a6c8e4730c02b5df83eaa8fa2c7e2e4540456dfe,46c0930ca92f83da4bc89e29601ab070e54b6a7bb631a4049755c14ec40660ef,1694cbaa2a3f67adc784b05d1da26f3a23bd14aeec32e55866c4a6c5d0f44215,516a5f20404d2f8cfadd01e182b651649d65ee5f0a7937038cceaf58dae73f0b,c13d147485589c2f585ce150baf354d7cc7196d1cf94c8854f40331eca3cf28c,8470d35f7180412781a622e020bb85f027f8802f737eee62cafbae18f55f7d42,fd6cd6b4be90159828d5bc031e7516d9c880c2ad30e1c59a875667c46ea24c40,ecb1b8850735f77ae99b014da6235d0966c18852a204d8bb59cd1733cdef5b4b,fbc68bb7ffd77991609a3a6ff945e4a409334ebc6c6d70ba68122a896f54edce
fftw_fft,0ae00c31b5e3e34cffe488a0b71b5f49f1dc4c8381c24595e8d0d0240bc82086,7eee59d1abfad2e09b638cbdc00d1689f34e6bcb5983f67b5ff14a7a51c4f9ee,bcd50b94030a5b602ba57b4ab3d87f54bba1a4a232ee162c99c20e4a012d5310,92255383f853f4720f9eb0e654e1af121ed9e1ce3d77f4f790dae84d4d176fd3,eceb23f8e854f313669a02cec4cd8ad5342fb1882eae8da6616b71f42978bc54,5c110156db158b36d5b8b2cbad05128ef3eb93cb981ed938c74def1c9367f033,babf4154cbb6df4af909180f53d2fec452daba7023212282714e6caf11cfe66b,697a32b7fe1450ca568d2a698b331f31e8160724f193d895863ff44d2e97eab1,ceff7218cfda079089c171e7af14789a6c6cce7a6229bdc96e6768db13559062,d79d60714ca7ea94165500f5be5d97caafc18937ede2b03e21896671b547d7da,60213a72835c7d9f374a5605d5db82ecc6d13369dd874ab82f1c1c6f8b6b0f68,bfd3dd50de6654c51ab41d1c2884f6657f1f800a82c7dc5e6de4bd11a1d60ae5,9d936eb3d7053cfa8c28d19ba4c8dfef4600ccfda7864e4e1c4ecbd767b7e70d,cd97f58db7d283cf293710a7fc6fdf1733dcfb019f7af74409261338119ca052
numpy_fft,d01935f1e21591d813652af2b98c021e3016ae4838c8615b49e13fd46b68a4a8,c69c48c4c6046bbb5d2d666916995f4e2b6fc9a97d00015c5aae890050f5867e,9135cedde266a776b6a61fc6a6ac3c693a84b2ce79766e8e08f0e1d922334d3c,201741100327e78ef6b7a8a91fd73172966eaf8de7b4390b89d97efa39e43285,4ae5e4e30c36e27a8a7a9e5e36b9086da00cc0a94fc94339b7c9c3390be3c85c,35a4aa72b32f1e8c73d6e89962d546e5ffef1f65bdfbf7cabc6d1900073f4785,ddc59886bcb7723f0332b29168608e5f7d14c1e73e5d07c5386e79933d7f6ea5,bb5ab1361b9857c31b62af8997157a7c5b6f565571b4a31f3beafd8f9447e49e,2dc942111413f98edd4d0bc99206caf3280633f127541ce8b837664453b492a0,15ef6e16a3ff6ab51440e648168ce5fe06a57e299a464813c7e22b3e40485a06,5052358b206b7704a567d9ca45f95fd890ac6635468ca83cacb80291e0a6fac0,79e6b5a33211320b995329ad0a11f8b1136caadb46f762bca1510943eae892c4,9cc62ebc350be7b96d546ae5471d8374870cad64eb5d9390d1dceb4c84f21d95,4e825921017e61fa2a786fd760d7898ed4cff0b6043406bf1e9e0a2baac5e192
numpy_pointwise,7d7ac8c18aea728c42cae56805375796ab46b4fa7fe1c0eb04392b21eb8bb87d,c6c26ffda4232c2e1586d384f5418aaf86560c41cf8b1f70e41ccca2f40aa1a3,72c936fdda7f9fb6d20a652d4971dd34e0a5e45abce4faba654b66487e215efa,0d8a8f5f8b5debbdf67bda90b825fbefe5a59ef851909ac44ffd0a25cb6f8c67,7d7ac8c18aea728c42cae56805375796ab46b4fa7fe1c0eb04392b21eb8bb87d,e591b3ea76d00ea5afdd3382b5953dc44d0a1659c07c86854fb11dc46ebf4a1f,c9f5e7fec9ff32a2f3530d1c09ec84f927de7fc7bf8bbf91c6f52a9fdeeab633,240d16b12eda998f2e48c283282aa1d90873044b8326c0aaa8899e9479d42c3c,c1c725b2febdc3d5a69cd54d794354795dc9da7d068d7f63ec87011f0cd952c5,9e22a52c12775939df164cc6dba7bf37650237bc3404d19012ce70e53bc299e8,c8834597ac56247ba1b067a844a5227a045b0f034f8b9794641581fcd55ca640,4dfc745879db41450f4b0602a72098844ee9e8be643b0d70ba9fe2b5087295be,f90cc3424bb3009a7ae69aab3c33fb88e408bb67cdcc3402fa859f82bcb0e932,b7e216ef15b26b3bbc1e4e0a370611d2c7fea4616809ec918a6f8b289ed58d62
