Method,0,1,2,3,4,5,6,7,8,9,10,11,12,13
cuda_fft,d6612a6cb336a28fad587b0a536d9d2c0e7adadb0fba6916d189df61ee53af45,ec1dae4f8433cf961a269781bd2f9286d78f45b9027b5024c4ba71d0bc403e78,45c1c77145cb9442ce25b80eba841b78e510b8bea1119cc313ab448b17b9c54b,015209b789796e901f2e0496d6035f6f93847ddde11b42164c1c11a41e89fce0,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643,c39413abb31849823c261d588a1f63fc9004d0199af1c1c96fbe390550b84643
fftw_fft,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,94b14f43fea4d56389268923d46613212bfb393866aa92c937aebe7167bb83b1,b63592ecb2391a36077e59a6185541436f54e854180b8190f948f2923e6e7e5a,0fb3cbb8af3f5f6f45fe707c115d450da802439463bc9938770ebca78bd1adcb,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02
numpy_fft,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,32fca3ed4cb2ecf587a1cdf6e074bd56daa65e64e7d22159cda5f440e783e0d2,905ea60a16e76acf3de736ad96f13ff8714c3e4492cc5f7fea6bcc5c6c21455f,a9b21909248f553afddba05ad41eba1134f67e89b8a6e9842c24f587a0d6c97e,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1,21d4d57bb0ac89a2b89cfd0f77530ffd2de0726d3a602b002282a9da5b55b4a1
numpy_pointwise,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,d5d4b329cd769415280733b5c40d3d50b729acc9cb1a1099dcb1c16d7d6fe6a0,738d6021bb0f7578d1d1a1fb9e56b224eedefa5a6f05b907a7b78fc23d332187,32833f29da611120de6a683d2d37466d7c4bcc05d5055714726b55a3a61cab20,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f,8166444fd3861165193b03e6558c37b6e092957f7a81c9d5c37415fa44a35e7f
