Method,0,1,2,3,4,5,6,7,8,9
cuda_fft,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b
fftw_fft,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75
numpy_fft,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5,5a3a7c4f27312eaf125700e5c6c9aa9cc0fa85cf6ab1f8c83c07b590fc0d39c5
numpy_pointwise,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60
