Hash,fftw_fft_13
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
ReproducibilityFlags.REPEAT,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75
ReproducibilityFlags.RECOMPUTE,cd08a6dbec10d7ba3f73ca2248bd1015993ff6c4ca669dd385a89071131e7926
ReproducibilityFlags.REPRODUCE,737e98f05bcfc02aa381521a1f517f4dee8c15b7976f4b42a9bbd4407cb459c5
ReproducibilityFlags.REPLICATE_SCI,ace56731bb68450dcafc93ea6cd5e1607ec632be5646c16c6efdaf19e7db4cf4
ReproducibilityFlags.REPLICATE_COMP,51f6811731e531af05712c5fedb235e366d91e9f9560ad6558df836fdb511da6
ReproducibilityFlags.REPLICATE_TOTAL,3cd4d8dd7c7b4ac2a3bde929b3977075d8e70be619829b3637fb99795718ff5a
