Hash,cuda_fft_5
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
ReproducibilityFlags.REPEAT,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b
ReproducibilityFlags.RECOMPUTE,a7f8c11668f42e52bb70460ab5631646e635326e72bd002f083ceb20e780d5f3
ReproducibilityFlags.REPRODUCE,1dd1626e6e906670215346929581edc670ef16337945a5881e03a318550f28ff
ReproducibilityFlags.REPLICATE_SCI,8bbe65b78353fe982de6178687fb439066f9372b46f5c8ccddbea9064c03491c
ReproducibilityFlags.REPLICATE_COMP,dafc540ae2c49fe7ae0ff72f9ae00eb8785394ad8cebf2cd48ae59f3c67dbb6f
ReproducibilityFlags.REPLICATE_TOTAL,7af8c34534fa4f4edc6ada8549f38f363a946b41fcdd23a7d888eabf26287f89
