Hash,fftw_fft_12
ReproducibilityFlags.RERUN,dfc3466fc683db8e840dc7e7adadb59038f5a01ff0c86db663533338b608f5eb
ReproducibilityFlags.REPEAT,7ae3067c40b647f5aae5f84d8aa561ab468aeb02193e8f44ef8de117f2433d75
ReproducibilityFlags.RECOMPUTE,c0c4ceda8683f72d3d9b018e4b598e0433975ca5d0499047d05f9d54e2690e02
ReproducibilityFlags.REPRODUCE,dc35f388f159c35892d7f304c023707acd47fd41c224dcef33507ed08dc6afbe
ReproducibilityFlags.REPLICATE_SCI,ad6faa55040f55a42a0e3860622d4e60b18367b247a917dd817571774ec1d0ff
ReproducibilityFlags.REPLICATE_COMP,9d936eb3d7053cfa8c28d19ba4c8dfef4600ccfda7864e4e1c4ecbd767b7e70d
ReproducibilityFlags.REPLICATE_TOTAL,3a12814936cbf048c9f4a5e97cd572afb812932dbbb28a76e77d3222968b09be
