Hash,cuda_fft,numpy_pointwise,Match
ReproducibilityFlags.RERUN,2cf8e27e8e543a805b07b4d8fff8d94caeaf1eb6a9c5b671865c13c245cb370d,2cf8e27e8e543a805b07b4d8fff8d94caeaf1eb6a9c5b671865c13c245cb370d,True
ReproducibilityFlags.REPEAT,2a524ce8cbce1791f1dc3c364bfea9c90f743a9daf7580949f41b5e2d22cc19b,b1570e38088783c9c974b558a2fd559c889c9f675465bf0320ef2d0203a2ec60,False
ReproducibilityFlags.RECOMPUTE,1dee8381f176ee38ad7feaffcd4aa7baae440b5b6689942fbf4e7b4e4423f7ea,e78b07c432400ac7247e6d573aa0f2b52cbd2dc1647502250dec4902297c57c7,False
ReproducibilityFlags.REPRODUCE,b008b9233b16161e64b612e5b44bc72437c68b0c135931bf4398667238e0ead2,8177b64fa6ce76ff00ceb3589031460790b88d8ba4bc7928470074ed4c42ae78,False
ReproducibilityFlags.REPLICATE_SCI,54e8ad77d1f31f1bebb00d06a181ec68a5f7565c3ded849d44c81886e4fb43e7,ba0b3ab1dafc58a931a9820fc79fdbc55f2a538a91878edbfa3872b5b8edaabf,False
ReproducibilityFlags.REPLICATE_COMP,43c33fa42c1dcdede685c3a4da67d0ace1b4bc1fb74392829f7e559c7987f4d6,db273009fdd82fb57a9b96d421ca0b94333ad4dc4dc50eea75e1364d96946416,False
ReproducibilityFlags.REPLICATE_TOTAL,9b6b0251875d37a92b7b4a0cc9fd6925fe90c25ec20b79c878353bac0d91540f,db9ee605f3eebb4ac7dea54f63cda0e7968a81d9091ad9570d01d5c4037df619,False
