Hash,averageNumPySimple,averageMySimple,Match
ReproducibilityFlags.RERUN,492d7b6daba96f5e4746e160ed67948d66703856fb5d3b4fd5f4bec37928d2d6,492d7b6daba96f5e4746e160ed67948d66703856fb5d3b4fd5f4bec37928d2d6,True
ReproducibilityFlags.REPEAT,5a47ece51a4c6c2bbd795439cd00a2192637a175f98741b797eece1fea4fb335,5a61dad9b18ff9ab0ecd8835ae307673fd09c382253f39a1c7ca1a91770f651e,False
ReproducibilityFlags.REPRODUCE,b0c4b0d240282e48d559531e6a22f4d8c2e47a704a2b09ecb633ad57d59ac272,b0c4b0d240282e48d559531e6a22f4d8c2e47a704a2b09ecb633ad57d59ac272,True
ReproducibilityFlags.REPLICATE_SCI,359fda24ab5928a12d5d6348de6584a3c21a6c5f4460515eff3ed0fbde29fe31,359fda24ab5928a12d5d6348de6584a3c21a6c5f4460515eff3ed0fbde29fe31,True
ReproducibilityFlags.REPLICATE_COMP,491a7de50579c5c2d0161a3ab0cb27ddc31465201f8e6a459b0db9a68243e576,75bf9695e80607e8850763cddd8d78b50fe2d156e17e568acd00238a501e64ba,False
